DATE,CNP16OV
01/06/05,225911
01/07/05,226153
01/08/05,226421
01/09/05,226693
01/10/05,226959
01/11/05,227204
01/12/05,227425
01/01/06,227553
01/02/06,227763
01/03/06,227975
01/04/06,228199
01/05/06,228428
01/06/06,228671
01/07/06,228912
01/08/06,229167
01/09/06,229420
01/10/06,229675
01/11/06,229905
01/12/06,230108
01/01/07,230650
01/02/07,230834
01/03/07,231034
01/04/07,231253
01/05/07,231480
01/06/07,231713
01/07/07,231958
01/08/07,232211
01/09/07,232461
01/10/07,232715
01/11/07,232939
01/12/07,233156
01/01/08,232616
01/02/08,232809
01/03/08,232995
01/04/08,233198
01/05/08,233405
01/06/08,233627
01/07/08,233864
01/08/08,234107
01/09/08,234360
01/10/08,234612
01/11/08,234828
01/12/08,235035
01/01/09,234739
01/02/09,234913
01/03/09,235086
01/04/09,235271
01/05/09,235452
01/06/09,235655
01/07/09,235870
01/08/09,236087
01/09/09,236322
01/10/09,236550
01/11/09,236743
01/12/09,236924
01/01/10,236832
01/02/10,236998
01/03/10,237159
01/04/10,237329
01/05/10,237499
01/06/10,237690
01/07/10,237890
01/08/10,238099
01/09/10,238322
01/10/10,238530
01/11/10,238715
01/12/10,238889
01/01/11,238704
01/02/11,238851
01/03/11,239000
01/04/11,239146
01/05/11,239313
01/06/11,239489
01/07/11,239671
01/08/11,239871
01/09/11,240071
01/10/11,240269
01/11/11,240441
01/12/11,240584
01/01/12,242269
01/02/12,242435
01/03/12,242604
01/04/12,242784
01/05/12,242966
01/06/12,243155
01/07/12,243354
01/08/12,243566
01/09/12,243772
01/10/12,243983
01/11/12,244174
01/12/12,244350
01/01/13,244663
01/02/13,244828
01/03/13,244995
01/04/13,245175
01/05/13,245363
01/06/13,245552
01/07/13,245756
01/08/13,245959
01/09/13,246168
01/10/13,246381
01/11/13,246567
01/12/13,246745
01/01/14,246915
01/02/14,247085
01/03/14,247258
01/04/14,247439
01/05/14,247622
01/06/14,247814
01/07/14,248023
01/08/14,248229
01/09/14,248446
01/10/14,248657
01/11/14,248844
01/12/14,249027
01/01/15,249723
01/02/15,249899
01/03/15,250080
01/04/15,250266
01/05/15,250455
01/06/15,250663
01/07/15,250876
01/08/15,251096
01/09/15,251325
01/10/15,251541
01/11/15,251747
01/12/15,251936
01/01/16,252397
01/02/16,252577
01/03/16,252768
01/04/16,252969
01/05/16,253174
01/06/16,253397
01/07/16,253620
01/08/16,253854
01/09/16,254091
01/10/16,254321
01/11/16,254540
01/12/16,254742
01/01/17,254082
01/02/17,254246
01/03/17,254414
01/04/17,254588
01/05/17,254767
01/06/17,254957
01/07/17,255151
01/08/17,255357
01/09/17,255562
01/10/17,255766
01/11/17,255949
01/12/17,256109
01/01/18,256780
01/02/18,256934
01/03/18,257097
01/04/18,257272
01/05/18,257454
01/06/18,257642
01/07/18,257843
01/08/18,258066
01/09/18,258290
01/10/18,258514
01/11/18,258708
01/12/18,258888
01/01/19,258239
01/02/19,258392
01/03/19,258537
01/04/19,258693
01/05/19,258861
01/06/19,259037
01/07/19,259225
01/08/19,259432
01/09/19,259638
01/10/19,259845
01/11/19,260020
01/12/19,260181
01/01/20,259502
01/02/20,259628
01/03/20,259758
01/04/20,259896
01/05/20,260047
01/06/20,260204
01/07/20,260373
01/08/20,260558
01/09/20,260742
01/10/20,260925
01/11/20,261085
01/12/20,261230
01/01/21,260851
01/02/21,260918
01/03/21,261003
01/04/21,261103
01/05/21,261210
01/06/21,261338
01/07/21,261469
01/08/21,261611
01/09/21,261766
01/10/21,261908
01/11/21,262029
01/12/21,262136
01/01/22,263202
01/02/22,263324
01/03/22,263444
01/04/22,263559
01/05/22,263679
01/06/22,263835
01/07/22,264012
01/08/22,264184
01/09/22,264356
01/10/22,264535
01/11/22,264708
01/12/22,264844
